Mile,Waypoint,Elev_ft,Est_SnowFree_2026,Threshold_in,Consecutive_days_required
0.0,Snoqualmie Pass (Hwy 90),3193.0,2026-05-01,6,5
1.0,Mile 1.0,3475.0,2026-05-01,6,5
2.0,Mile 2.0,2966.0,2026-05-01,6,5
3.0,Mile 3.0,3314.0,2026-05-01,6,5
4.0,Mile 4.0,3816.0,2026-06-01,6,5
5.0,Gold Lake Bog area,3983.0,2026-06-01,6,5
6.0,Mile 6.0,4604.0,2026-07-01,6,5
7.0,Mile 7.0,4982.0,2026-07-01,6,5
8.0,Mile 8.0,5396.0,>Jul-20,6,5
9.0,Mile 9.0,5460.0,>Jul-20,6,5
10.0,Chikamin Peak area,5192.0,>Jul-20,6,5
11.0,Mile 11.0,5368.0,>Jul-20,6,5
12.0,Mile 12.0,5153.0,>Jul-20,6,5
13.0,Mile 13.0,5619.0,>Jul-20,6,5
14.0,Mile 14.0,5783.0,>Jul-20,6,5
15.0,Park Lakes Basin,5643.0,>Jul-20,6,5
16.0,Mile 16.0,5425.0,>Jul-20,6,5
17.0,Mile 17.0,4908.0,2026-07-01,6,5
18.0,Mile 18.0,5207.0,>Jul-20,6,5
19.0,Mile 19.0,4540.0,2026-07-01,6,5
20.0,Waptus River,3963.0,2026-06-01,6,5
21.0,Mile 21.0,3460.0,2026-05-01,6,5
22.0,Mile 22.0,3293.0,2026-05-01,6,5
23.0,Mile 23.0,3224.0,2026-05-01,6,5
24.0,Mile 24.0,3362.0,2026-05-01,6,5
25.0,Deep Lake / Cathedral Pass,3827.0,2026-05-24,6,5
26.0,Mile 26.0,4303.0,2026-06-01,6,5
27.0,Mile 27.0,4791.0,2026-07-01,6,5
28.0,Mile 28.0,5221.0,>Jul-20,6,5
29.0,Mile 29.0,5579.0,>Jul-20,6,5
30.0,Deception Pass,5337.0,>Jul-20,6,5
31.0,Mile 31.0,5404.0,>Jul-20,6,5
32.0,Mile 32.0,5035.0,>Jul-20,6,5
33.0,Mile 33.0,4676.0,2026-07-01,6,5
34.0,Mile 34.0,4205.0,2026-06-01,6,5
35.0,Deception Creek,3734.0,2026-05-10,6,5
36.0,Mile 36.0,3265.0,2026-05-01,6,5
37.0,Mile 37.0,3021.0,2026-05-01,6,5
38.0,Mile 38.0,3277.0,2026-05-01,6,5
39.0,Mile 39.0,3268.0,2026-05-01,6,5
40.0,Surprise Lake Jct,3378.0,2026-05-01,6,5
41.0,Mile 41.0,3874.0,2026-05-11,6,5
42.0,Mile 42.0,4216.0,2026-06-01,6,5
43.0,Mile 43.0,4417.0,2026-06-01,6,5
44.0,Mile 44.0,4589.0,2026-07-01,6,5
45.0,Trap Pass area,5044.0,>Jul-20,6,5
46.0,Mile 46.0,5462.0,>Jul-20,6,5
47.0,Mile 47.0,5383.0,>Jul-20,6,5
48.0,Mile 48.0,4671.0,2026-07-01,6,5
49.0,Mile 49.0,4345.0,2026-06-01,6,5
50.0,Necklace Valley Jct,3857.0,2026-05-11,6,5
51.0,Mile 51.0,4405.0,2026-06-01,6,5
52.0,Mile 52.0,4449.0,2026-06-01,6,5
53.0,Mile 53.0,4412.0,2026-06-01,6,5
54.0,Mile 54.0,4881.0,2026-07-01,6,5
55.0,Hope Lake / Mig Lake,5056.0,>Jul-20,6,5
56.0,Mile 56.0,5507.0,>Jul-20,6,5
57.0,Mile 57.0,5746.0,>Jul-20,6,5
58.0,Mile 58.0,5153.0,>Jul-20,6,5
59.0,Mile 59.0,4868.0,2026-07-01,6,5
60.0,Cady Pass,5009.0,2026-07-01,6,5
61.0,Mile 61.0,5581.0,>Jul-20,6,5
62.0,Mile 62.0,5246.0,>Jul-20,6,5
63.0,Mile 63.0,5111.0,>Jul-20,6,5
64.0,Mile 64.0,4616.0,2026-07-01,6,5
65.0,Lake Valhalla area,4656.0,2026-07-01,6,5
66.0,Mile 66.0,4482.0,2026-06-01,6,5
67.0,Mile 67.0,5281.0,>Jul-20,6,5
68.0,Mile 68.0,4867.0,2026-07-01,6,5
69.0,Mile 69.0,4611.0,2026-07-01,6,5
70.4,Stevens Pass (Hwy 2),5135.0,>Jul-20,6,5
